,0,1,opinion,sentiment
0,0,0," ""It's #BallondOr time where @Cristiano and  are pitched again each other for 9th time. #Ronaldo  https://t.co/jVOvWVz3tf""",positif
1,,0," ""It's #BallondOr time where  and @TeamMessi are pitched again each other for 9th time.  #Messi https://t.co/jVOvWVz3tf""",positif
2,,1," ""adidas Men's Soccer Messi Sweatpants #Messi #BallondOr #ElClasico &gt;https://t.co/obnW8Wl5nf&lt; https://t.co/GfLINVsL7H""",positif
3,,17, 'Watch next year when the media campaign for Ronaldo to win #BallonDor remember how awful he is &amp; how much better his teammates are #FIFA',negatif
4,,22, '@bghayward You think ronaldo is frustrated because of #BallonDor concerns or just obsessed with scoring each game?',positif
5,,25, 'RT @RuflessForza: Kevin De Bruyne. Best player on the planet #BallonDor',positif
6,,29, 'Kante tilbage. Chelsea vinder. Coincidence? I think not. Bare giv ham ballon d\u2019or nu og f\xe5 det overst\xe5et #ballondor\u2026 https://t.co/vBZrwQG2K2',positif
7,,35, 'ScutLunb Lunch Bag Barcelona Lionel Messi Lunch Tote... #Messi #BallondOr #ElClasico &gt;https://t.co/36346D5PuT&lt; https://t.co/zt8kQjBbqc',positif
8,,37, 'De Bruyne &gt; Ronaldo #ballondor',positif
9,,38, 'Kevin De Bruyne. Best player on the planet #BallonDor',positif
10,,39, 'RT @dhruv123tupac: DAVID DE GEA the best keeper in the world\nHe\u2019s up for the #BallonDor \n\U0001f608\u2764\ufe0f @D_DeGea \u2764\ufe0f\U0001f608 #Campeon #campeondelmundo https:/\u2026',positif
11,,52, 'Outdoor Football Messi Training Ball (1 Random Colour... #Messi #BallondOr #ElClasico &gt;https://t.co/X8WceXGFD5&lt; https://t.co/GaY9k9xyM6',positif
12,,54, 'RT @NzoGraphic: .@FCBarcelona nominees \U0001f535\U0001f534\n\n@TeamMessi @LuisSuarez9\n#FCBarcelona #BallonDor https://t.co/81cLrluR0G',
13,,80," ""RT @Eurosoccersite: If we used facts instead of a corrupt vote this would be the Ballon d'or ranking. #BallonDor #DFS #Messi  http\u2026""",positif
14,,80," ""RT @Eurosoccersite: If we used facts instead of a corrupt vote this would be the Ballon d'or ranking. #BallonDor #DFS #Neymar  http\u2026""",positif
15,,95, 'RT @FOXSoccer: Lionel Messi wins the 2015 FIFA  #BallondOr for a record fifth time! https://t.co/WLstDps9AH https://t.co/1KuDEmudCi',positif
16,,96, '@SoccerAM Neymar Jr. #BallonDor',
17,,97," ""RT @francefootball: The next 5 nominees for the 2017 Ballon d'Or France Football : Messi  #ballondor h\u2026""",positif
18,,97," ""RT @francefootball: The next 5 nominees for the 2017 Ballon d'Or France Football :  Aubameyang   #ballondor h\u2026""",positif
19,,97," ""RT @francefootball: The next 5 nominees for the 2017 Ballon d'Or France Football :   Cavani   #ballondor h\u2026""",positif
20,,97," ""RT @francefootball: The next 5 nominees for the 2017 Ballon d'Or France Football : Hummels  #ballondor h\u2026""",positif
21,,97," ""RT @francefootball: The next 5 nominees for the 2017 Ballon d'Or France Football : Benzema #ballondor h\u2026""",positif
22,,98, 'RT @Bundesliga_EN: Our #Bundesliga 2016/17 top goalscorer has also been nominated for the 2017 #BallonDor (list of 30) \u26bd\ufe0f\n\nCongratulations\u2026 @Aubameyang7!',positif
23,,99, 'RT @FIFAcom: VOTE: Who do you think should win the FIFA #BallondOr? #Cristiano #Messi #Neymar',
24,,99, 'RT @FIFAcom: VOTE: Who do you think should win the FIFA #BallondOr? #Neymar',
25,,101, 'BLOG: Are footballers rated fairly? #ronaldo #messi #fifa #uefa #BallonDor https://t.co/gBNsN8Lx2i',negatif
26,,107, 'IEEFTA Lionel Messi Logo Baby Climbing Clothes Bodysuit #Messi #BallondOr #ElClasico &gt;https://t.co/ujI6Y5m8IM&lt; https://t.co/nCM9x7dv8U',
27,,112, 'RT @Eurosport_DE: Hier alle nominierten Spieler im \xdcberblick. #Ballondor @ToniKroos @matshummels #Kroos #Hummels https://t.co/AkapUEY1dy',
28,,116, 'Barcelona Soccer Shirt Lionel Messi #10 Futbol Jersey... #Messi #BallondOr #ElClasico &gt;https://t.co/7sQJ7nRQEH&lt; https://t.co/dwAMUnGtFM',
29,,118," ""@francefootball Le r\xe9cit du premier #BallonDor chez #Messi qui sort le p\xe2t\xe9 et l'ap\xe9ro \U0001f602""",
30,,121," ""RT @francefootball: Nominee for the 2017 Ballon d'Or France Football (list of 30) : Mats Hummels #ballondor https://t.co/JI4TDKuB69""",
31,,123, 'RT @RoundAndWhite: #Ronaldo/#Messi #BallondOr successors beyond #Neymar https://t.co/ZomrSAJNqF by @omolayormi #Griezmann #HarryKane #Asens\u2026',
32,,124, 'RT @NzoGraphic: .@FCBayern nominees ! \U0001f525\U0001f4aa\n\n@lewy_official &amp; @matshummels\n#FCBayern #BallonDor https://t.co/KVjMu3ZHvj',
33,,130, 'Lionel Messi Platinum Logo Travel Tote Lunch Bag #Messi #BallondOr #ElClasico &gt;https://t.co/wuD7jGEBNv&lt; https://t.co/xOZO4SErb0',
34,,135, 'RT @NzoGraphic: .@juventusfc nominees \u26aa\ufe0f\u26ab\ufe0f\n\n@gianluigibuffon &amp; @PauDybala_JR\n#Juventus #BallonDor https://t.co/EeJYmf9ZBh',
35,,139, 'RT @madrid_bw: Cristiano Ronaldo bal\xf3n de Oro 2016 \n#FiFA  #Ballondor https://t.co/3ABzcJMRs5',
36,,140, 'Lygfdsss Lionel Messi 10 Funny Lunch Tote Lunch Bag #Messi #BallondOr #ElClasico &gt;https://t.co/m8Wvctgix4&lt; https://t.co/BUXUwUX74J',
37,,145," ""RT @francefootball: Nominee for the 2017 Ballon d'Or France Football (list of 30) : Antoine Griezmann #ballondor https://t.co/F9wprx5Sc2""",
38,,155, 'FC Barcelona Cap Messi #Messi #BallondOr #ElClasico &gt;https://t.co/u92R78ZlHc&lt; https://t.co/QZhjvjHAxO',
39,,158, 'RT @NzoGraphic: .@ChelseaFC nominees \U0001f3c6\n\n@nglkante &amp; @hazardeden10\n#ChelseaFC #CFC #BallonDor https://t.co/f3OastqhfA',
40,,160, 'Looks like Norwegian Airlines already have stated who the GOAT is \U0001f410\U0001f602 #messi #BallonDor #Barcelona #RealMadrid\u2026 https://t.co/BN70XADfQA',
41,,176," 'RT @Savage_Khama: When Ronaldo started his acceptance speech for the #BallonDor in Portuguese I heard #OscarineMasuluke shouting ""A ke utlw\u2026'",
42,,179, 'Indica Plateau Its About to Get Messi Mens T-shirt #Messi #BallondOr #ElClasico &gt;https://t.co/ZF9hRZWV2P&lt; https://t.co/Lbh4xnoGG0',
43,,181, '#Ronaldo/#Messi #BallondOr successors beyond #Neymar https://t.co/ZomrSAJNqF by @omolayormi #Griezmann #HarryKane\u2026 https://t.co/7GmkPSnlHk',
44,,183, 'RT @esmuellert_: Congrats to @matshummels @lewy_official and @ToniKroos for the nomination to #Ballondor \U0001f44f\u26bd\ufe0f #esmuellert https://t.co/1H43\u2026',
45,,184, 'Lionel Messi FC Barcelona Air Messi Logo T-Shirt... #Messi #BallondOr #ElClasico &gt;https://t.co/NDc0jLXyPa&lt; https://t.co/XqDq2kTD1k',
46,,187, '#PSG to conquer #ChampionsLeague and #Neymar to win #BallondOr?',
47,,205," ""It's a shame they didn't extend #BallondOr voting two weeks like they did for Ronaldo way back when.""",
48,,207, 'Lionel Messi golden money bank #Messi #BallondOr #ElClasico &gt;https://t.co/fvTqBikkhR&lt; https://t.co/OlP1VoIZih',
49,,213, 'Lionel Messi Pink Geek Short Sleeves Variety Baby... #Messi #BallondOr #ElClasico &gt;https://t.co/vKQgnJPLuw&lt; https://t.co/9YSLuagRex',
50,,216," 'RED Lionel Messi FC Barcelona ""Air Messi"" T-Shirt #Messi #BallondOr #ElClasico &gt;https://t.co/kEsOwxA6Td&lt; https://t.co/tyKHur6HVj'",
51,,220, 'RT @HKane: \U0001f44d#ballondor https://t.co/qJHz2GJ6Am',
52,,223, 'DSYBTV Lunch Bag Lionel Messi Lunch Tote Lunch Box For... #Messi #BallondOr #ElClasico &gt;https://t.co/gmw3Hz7JXT&lt; https://t.co/neLnfzi55L',
53,,227, 'Eden Hazard is world-class! He just needs better players around him to win #BallonDor #CFC',
54,,228, 'What a miss by @hazardeden10!!!! No wonder he has not won #BallonDor &amp; why he is leagues behind #CR7 or #TheGod Messi...\n#ROMCHE',
55,,229, '@neymarjr gagnerait \xe0 simplifier son jeu plut\xf4t qu\u2019\xe0 vouloir \xeatre #Zoro. Il ne gagnera pas le #BallondOr tout seul de toute fa\xe7on #PSGAND',
56,,231," ""https://t.co/3hk1pUjOhx\nBallon d'Or\nCheck it Out\nSubscribe my Sports YT Channel.\n#football #messi #ronaldo\u2026 https://t.co/MeLUbzbklb""",
57,,232," ""Ballon d'Or 2017\nhttps://t.co/KJVCPTdVkq\n#football #BallondOr #Ronaldo #messi https://t.co/skzQ4ovmEZ""",
58,,237," 'The Silo LONG SLEEVE NAVY Lionel Messi Barcelona ""AIR... #Messi #BallondOr #ElClasico &gt;https://t.co/QqvYwCL4yw&lt; https://t.co/WQYv4PMNir'",
59,,256, 'RT @Hakimjemili: #mbappe #BallonDor #Excellent https://t.co/5eJ1N1sj8X',
60,,292," ""RT @FCBarcelona: \U0001f44f Bar\xe7a striker @LuisSuarez9 is among 30 candidates nominated for the 2017 Ballon d'Or award. #FCBLive #BallondOr https://\u2026""",
61,,296, 'Tcamp Argentina Soccer Shirt Lionel Messi #10 Jersey... #Messi #BallondOr #ElClasico &gt;https://t.co/WBwYWnb2lz&lt; https://t.co/VvNTMB3a33',
62,,311, 'Black Lionel Messi Unisex Lunch Tote Bag For Woman Man... #Messi #BallondOr #ElClasico &gt;https://t.co/etaxBFzWHO&lt; https://t.co/QZO4VeuCwG',
63,,331, 'Barcelona Soccer Shirt Lionel Messi #10 Futbol Jersey... #Messi #BallondOr #ElClasico &gt;https://t.co/7sQJ7nRQEH&lt; https://t.co/Xk8J1eRxqp',
64,,338, 'RT @BrunoAhoyo: On a discut\xe9 #ballondor #mbappe #benzema #kante #casemiro #messi et #CR7 avec Semra Hunter de TRT WORLD https://t.co/it\u2026',
65,,358, '\u26bd\U0001f3c6 Nuestros representantes en el #BalonDeOro: Sergio Ramos Cristiano Ronaldo Marcelo Isco Karim Benzema Toni K\u2026 https://t.co/roMoguxABU',
66,,359, 'Lionel Messi 10 Car Rear Window Decal Sticker Car... #Messi #BallondOr #ElClasico &gt;https://t.co/fy7F6ljpLZ&lt; https://t.co/XOqyBYVsqh',
67,,362, 'RT @30rvisto: Comment #Ronaldo peut \xeatre #Ballondor avec cette fin d\u2019ann\xe9e? Y\u2019a une diff\xe9rence entre ballon d\u2019or 2017 et meilleur joueur de\u2026',
68,,363, 'On a discut\xe9 #ballondor #mbappe #benzema #kante #casemiro #messi et #CR7 avec Semra Hunter de TRT WORLD\u2026 https://t.co/2SrrFtRES4',
69,,364, 'Comment #Ronaldo peut \xeatre #Ballondor avec cette fin d\u2019ann\xe9e? Y\u2019a une diff\xe9rence entre ballon d\u2019or 2017 et meilleur joueur de la ldc',
70,,365, 'RT @AuPremierPoteau: Au Premier Poteau a parl\xe9  #ballondor #benzema #mbappe #Kante #casemiro avec @semrahunter de TRT WORLD https://t.c\u2026',
71,,367, 'If the Ballon d\u2019Or is won with stats... #BallonDor #unluckyronaldomate https://t.co/jrWkyNEclX',
72,,370," ""@FootballFunnys @messi10stats Should be banned forever....\nA bullshit level of playing....\nDoesn't deserve\u2026 https://t.co/K8VLL1ZFFJ""",
73,,371, 'IEEFTA Lionel Messi Logo Baby Climbing Clothes Bodysuit #Messi #BallondOr #ElClasico &gt;https://t.co/ujI6Y5m8IM&lt; https://t.co/lmENm7IAcx',
74,,372," ""Tranquils que igualment li donaran el #BallonDor i se'l comparar\xe0 un any m\xe9s a Messi. \U0001f926\u200d\u2642\ufe0f\U0001f926\u200d\u2642\ufe0f\U0001f926\u200d\u2642\ufe0f https://t.co/wp3MMc4NRD""",
75,,373, 'Au Premier Poteau a parl\xe9  #ballondor #benzema #mbappe #Kante #casemiro avec @semrahunter de TRT WORLD https://t.co/0ODDYiJJuQ',
76,,375, 'J\u2019ai le Top trois du #BallonDor c\u2019est 1.Ronaldo 2.Messi 3.Sergio Ramos',
77,,376, '@Cristiano #TheBest #BallonDor #CristianoRonaldo\n\n\u0628\u0627\u0642\u064a \u0627\u0644\u0643\u0648\u0631\u0647 \u0627\u0644\u0630\u0647\u0628\u064a\u0647 \u0627\u0644\u062e\u0627\u0645\u0633\u0647 \u0645\u062c\u0647\u0632\u064a\u0646\u0647\u0627 \u0645\u0646 \u0632\u0645\u0627\u0646 \u0648 \u062c\u0627\u064a\u0647 \u0641\u064a \u0627\u0644\u0637\u0631\u064a\u0642 \U0001f451 https://t.co/Ht17FqvuyX',
78,,377," 'RED Lionel Messi FC Barcelona ""Air Messi"" T-Shirt #Messi #BallondOr #ElClasico &gt;https://t.co/kEsOwxA6Td&lt; https://t.co/VBqGcdFVKj'",
79,,379," ""RT @Anirudh_Astro: Lionel Messi will win the Ballon d'Or 2017. @fundacionmessi #BallondOr https://t.co/UIhwASxhux""",
80,,380, 'Kids Youth Lionel Messi Personal Logo Hooded Sweatshirt #Messi #BallondOr #ElClasico &gt;https://t.co/HL405fpjGf&lt; https://t.co/ZDNyrLMk93',
81,,387, 'RT @FCBarcelona: \U0001f44f\U0001f44f\U0001f44f\U0001f44f\U0001f44f \n\n#BallondOr \n#Messi5 https://t.co/QkYwuNcZ5A',
82,,388, 'RT @FCBarcelona: \U0001f451 #Messi5 \n2015 &gt; #BallondOr\n2012 &gt; #BallondOr\n2011 &gt; #BallondOr\n2010 &gt; #BallondOr\n2009 &gt; #BallondOr\n \U0001f44f\U0001f44f\U0001f44f\U0001f44f\U0001f44f',
83,,390," ""RT @FCBarcelona: Lionel Messi 5-time Ballon d'Or winner! Congratulations Leo! #MESSI5 #ballondor https://t.co/WC6Xx07e9v""",
84,,401, 'RT @NzoGraphic: .@realmadrid nominees \U0001f525\nPart 1.\n\n@MarceloM12@isco_alarcon @lm19official @SergioRamos\n#RMA #BallonDor https://t.co/J30KQ3\u2026',
85,,403, 'RT @NzoGraphic: .@dries_mertens14 \U0001f4aa\n\n@sscnapoli\n#Napoli #BallonDor https://t.co/SAVAXONpDE',
86,,408, 'Messi ! Messi ! Meeeeesssi ! \U0001f451\n#BALLONDOR',
87,,418, 'Black Lionel Messi Unisex Lunch Tote Bag For Woman Man... #Messi #BallondOr #ElClasico &gt;https://t.co/hlaTSVSyyQ&lt; https://t.co/nWAKWkeDCU',
88,,420, 'RT @NicolasPre: Cavani #ballondor @francefootball ? @BernardLions vote pour ! Son point de vue \xe0 lire dans @lequipe du jour https://t.co/pi\u2026',
89,,422," ""@AfterRMC Donc y'a des gens qui pensent s\xe9rieusement que #Mbappe est proche du #BallonDor? #rmclive""",
90,,424," 'The Silo LONG SLEEVE NAVY Lionel Messi Barcelona ""AIR... #Messi #BallondOr #ElClasico &gt;https://t.co/QqvYwCL4yw&lt; https://t.co/8qy5CrwBIT'",
91,,425, 'Cavani #ballondor @francefootball ? @BernardLions vote pour ! Son point de vue \xe0 lire dans @lequipe du jour\u2026 https://t.co/vfaDVCXycV',
92,,429, 'PaTiane Lionel Messi Personal Logo Funny Lunch Tote... #Messi #BallondOr #ElClasico &gt;https://t.co/eCkM3uMNrt&lt; https://t.co/fs2At5NxtW',
93,,432," ""Lionel Messi will win the Ballon d'Or 2017. @fundacionmessi #BallondOr https://t.co/UIhwASxhux""",
94,,434," ""Can Mbappe win the Ballon d'Or before Neymar?\n\n#psg #neymar #mbappe #ballondor""",
95,,435, 'RT @NzoGraphic: .@Phil_Coutinho \U0001f525\n\n@LFC\n#LiverpoolFC #LFC #BallonDor https://t.co/h9cVjZu7zw',
96,,436, 'RT @NzoGraphic: .@DeBruyneKev \U0001f91f\U0001f3fc\n\n@ManCity\n#ManCity #DeBruyne #BallonDor https://t.co/EwZX6xRfim',
97,,439, 'RT @NzoGraphic: .@bonucci_leo19 \U0001f534\u26ab\ufe0f\n\n@acmilan\n#ACMilan #BallonDor https://t.co/20c4LgA1U8',
98,,441, 'RT @ODDSbible: #BallonDor nominees Coutinho &amp; Mane last season: \u26bd 27 Goals \U0001f3af 15 Assists\n\nNot nominated Sanchez last season: \u26bd 30 Goals \U0001f3af 15\u2026',
99,,442, 'Newborn Cute Baby Lionel Messi Barcelona Ballon D Or... #Messi #BallondOr #ElClasico &gt;https://t.co/5PAXvzTW9J&lt; https://t.co/C4jifcihgE',
100,,446, '7-6 para CR7 en su duelo con Messi contando los trofeos individuales mundiales. Y el #BallonDor en el horizonte:\u2026 https://t.co/PKlxjQmb7I',
101,,451," ""RT @francefootball: Nominee for the 2017 Ballon d'Or France Football (list of 30) : David De Gea #ballondor https://t.co/llGjEeHLYG""",
102,,452," 'The Silo NAVY Lionel Messi Barcelona ""AIR NEW"" T-Shirt #Messi #BallondOr #ElClasico &gt;https://t.co/3rTOuUqh8e&lt; https://t.co/L1zp8p3awm'",
103,,456, 'Lionel Messi golden money bank #Messi #BallondOr #ElClasico &gt;https://t.co/fvTqBiBVGr&lt; https://t.co/RuJnap9mS9',
104,,457, 'Los votos del #TheBest parecen presagiar el quinto #BallonDor de Cristiano Ronaldo: https://t.co/YUmwCuFZUR https://t.co/j1gIFrtetV',
105,,460," ""FC Barcelone Baby Boys' S 'Bodysuit Official Lionel... #Messi #BallondOr #ElClasico &gt;https://t.co/mxnJXMRiks&lt; https://t.co/E5i5XPP1gJ""",
106,,463, 'RT @NzoGraphic: .@Aubameyang7 \U0001f576\ufe0f\n\n@BVB\n#BVB #BorussiaDortmund #BallonDor https://t.co/oJFhAuXIrw',
107,,464, 'Lionel Messi Pink Geek Short Sleeves Variety Baby... #Messi #BallondOr #ElClasico &gt;https://t.co/vKQgnJPLuw&lt; https://t.co/Zu6NEpt0rQ',
108,,471," 'RED Lionel Messi FC Barcelona ""Air Messi"" Hooded... #Messi #BallondOr #ElClasico &gt;https://t.co/omjqWFKLmS&lt; https://t.co/hm7gi6C40V'",
109,,476," ""FC Barcelone Baby Boys' S 'Bodysuit Official Lionel... #Messi #BallondOr #ElClasico &gt;https://t.co/mxnJXMRiks&lt; https://t.co/j7MQAlYyzC""",
